x	y	new_x	new_y	pixel_x	pixel_y	selected
1	1	1.37	0.86	3567.5	1563.2	0
1	2	1.45	1.84	3609.4	2150.4	0
1	3	1.40	2.90	3581.5	2787.7	0
1	4	1.40	3.72	3581.5	3279.2	0
1	5	1.31	4.74	3532.0	3893.2	0
1	6	1.31	5.77	3532.0	4514.0	0
1	7	1.28	6.75	3515.2	5101.2	0
1	8	1.23	7.76	3481.6	5705.1	0
1	9	1.20	8.74	3464.9	6292.3	0
1	10	1.23	9.77	3481.6	6913.1	0
1	11	1.17	10.69	3448.1	7466.7	0
1	12	1.14	11.64	3431.3	8037.2	0
1	13	1.17	12.65	3448.1	8641.1	0
1	14	1.08	13.63	3397.7	9228.4	0
1	15	1.08	14.66	3397.7	9849.1	0
1	16	1.08	15.55	3397.7	10386.0	0
1	17	1.08	16.53	3397.7	10973.2	0
1	18	1.02	17.51	3364.2	11560.4	0
1	19	0.97	19.47	3335.7	12734.2	0
1	19	1.02	18.54	3364.2	12181.1	0
1	20	0.97	20.47	3335.7	13338.1	0
1	21	0.90	21.46	3295.4	13928.7	0
1	22	0.90	22.48	3295.4	14546.1	0
1	23	0.88	23.49	3282.0	15150.1	0
1	24	0.88	24.32	3282.0	15646.7	0
1	25	0.84	25.41	3255.1	16304.4	0
1	27	0.80	27.39	3237.4	17492.8	0
1	27	0.81	26.51	3238.9	16965.1	0
1	28	0.78	28.37	3224.8	18079.9	0
1	29	0.76	29.35	3213.7	18671.5	0
1	30	0.74	30.33	3197.9	19258.5	0
1	31	0.71	31.32	3184.2	19849.5	0
1	32	0.70	32.21	3174.2	20384.3	0
1	33	0.65	33.22	3146.9	20994.9	0
1	34	0.64	34.27	3142.9	21620.9	0
2	1	2.49	0.83	4217.6	1542.2	0
2	27	1.79	27.37	3807.9	17481.4	0
2	28	1.77	28.33	3800.3	18055.2	0
2	29	1.75	29.34	3784.5	18661.8	0
2	30	1.74	30.29	3779.6	19230.5	0
2	31	1.71	31.33	3760.3	19858.3	0
2	32	1.76	32.23	3791.6	20401.0	0
2	33	1.68	33.23	3744.5	20998.0	0
2	34	1.77	34.28	3796.1	21627.5	0
3	27	2.82	27.35	4409.4	17466.3	0
3	28	2.79	28.31	4390.7	18043.1	0
3	29	2.71	29.39	4343.1	18693.9	0
3	30	2.75	30.29	4367.0	19231.3	0
3	31	2.73	31.25	4355.4	19811.0	0
3	32	2.71	32.25	4343.1	20412.6	0
3	33	2.68	33.23	4328.5	21001.1	0
3	34	2.68	34.32	4327.3	21651.3	0
4	1	3.54	0.97	4825.8	1626.1	0
4	27	3.83	27.47	4990.4	17541.5	0
4	28	3.82	28.48	4987.2	18148.9	0
4	29	3.90	29.32	5035.0	18649.3	0
4	30	3.76	30.36	4951.6	19276.9	0
4	31	3.73	31.34	4934.9	19862.5	0
4	32	3.71	32.31	4923.5	20443.3	0
4	33	3.71	33.26	4921.7	21017.4	0
4	34	3.69	34.36	4910.8	21677.5	0
5	1	4.55	1.00	5413.0	1647.1	0
5	1	5.46	0.97	5937.3	1626.1	0
5	27	4.84	27.45	5581.0	17525.8	0
5	28	4.82	28.43	5566.5	18115.4	0
5	29	4.74	29.40	5524.0	18700.2	0
5	30	4.78	30.38	5545.0	19290.0	0
5	31	4.74	31.36	5519.9	19876.1	0
5	32	4.73	32.32	5517.6	20452.9	0
5	33	4.66	33.30	5475.0	21041.0	0
5	34	4.65	34.45	5466.4	21730.6	0
6	1	6.25	1.00	6398.7	1647.1	0
6	27	5.84	27.47	6158.0	17539.5	0
6	28	5.75	28.48	6107.0	18148.9	0
6	29	5.81	29.43	6142.0	18719.3	0
6	30	5.71	30.45	6081.5	19331.5	0
6	31	5.76	31.41	6114.2	19907.8	0
6	32	5.74	32.38	6099.9	20487.6	0
6	33	5.68	33.32	6068.8	21055.3	0
6	34	5.68	34.42	6065.6	21715.7	0
7	1	7.05	1.00	6860.0	1647.1	0
7	27	6.88	27.42	6760.8	17511.9	0
7	28	6.74	28.46	6681.8	18137.1	0
7	29	6.80	29.46	6717.4	18735.3	0
7	30	6.80	30.47	6719.2	19339.4	0
7	31	6.78	31.46	6703.3	19938.1	0
7	32	6.88	32.33	6761.4	20459.3	0
7	33	6.83	33.43	6732.7	21115.8	0
7	34	6.60	34.43	6598.2	21722.0	0
8	1	7.88	1.00	7342.4	1647.1	0
8	28	7.87	27.53	7339.0	17574.8	0
8	29	7.79	28.51	7289.1	18162.4	0
8	30	7.78	29.50	7284.7	18761.7	0
8	31	7.83	31.49	7317.2	19952.4	0
8	31	7.85	30.54	7326.8	19384.0	0
8	32	7.75	32.49	7268.1	20552.5	0
8	33	7.73	33.36	7257.0	21075.3	0
8	34	7.66	34.46	7216.8	21739.2	0
9	1	8.71	1.03	7824.7	1668.0	0
9	28	8.93	27.55	7953.6	17589.1	0
9	29	8.71	28.51	7824.1	18165.2	0
9	30	8.89	29.55	7927.0	18789.6	0
9	31	8.87	30.54	7917.1	19386.0	0
9	32	8.80	32.43	7878.8	20519.8	0
9	32	8.83	31.54	7894.4	19984.2	0
9	33	8.80	33.44	7877.6	21126.9	0
9	34	8.64	34.43	7783.1	21722.0	0
10	1	9.61	0.97	8349.0	1626.1	0
10	1	10.41	1.00	8810.4	1647.1	0
10	16	10.03	15.74	8589.7	10499.8	0
10	17	10.13	16.70	8649.8	11075.4	0
10	18	10.10	17.73	8632.6	11693.8	0
10	19	10.09	18.78	8624.1	12320.9	0
10	20	10.10	19.72	8632.6	12887.8	0
10	21	10.00	20.68	8572.5	13463.4	0
10	22	9.94	21.71	8538.2	14081.8	0
10	23	9.95	22.64	8546.7	14640.2	0
10	24	9.95	23.58	8546.7	15207.1	0
10	25	9.94	24.60	8538.2	15817.0	0
10	26	9.91	25.63	8521.0	16435.5	0
10	28	9.86	27.61	8491.3	17622.7	0
10	29	9.84	28.53	8479.9	18174.8	0
10	30	9.83	29.52	8475.4	18773.5	0
10	31	9.80	30.50	8457.8	19359.5	0
10	32	9.76	31.51	8434.0	19965.6	0
10	32	9.80	32.48	8456.3	20548.4	0
10	33	9.88	33.23	8504.0	20998.0	0
10	34	9.76	34.47	8434.0	21744.3	0
11	1	11.17	1.03	9250.8	1668.0	0
11	16	11.20	15.72	9268.3	10482.7	0
11	17	11.12	16.97	9225.4	11238.6	0
11	18	11.05	17.80	9182.4	11736.8	0
11	19	11.05	18.79	9182.4	12329.5	0
11	20	11.05	19.76	9182.4	12913.6	0
11	21	11.09	20.69	9208.2	13471.9	0
11	22	11.05	21.64	9182.4	14038.9	0
11	23	10.99	22.71	9148.0	14683.1	0
11	24	11.03	23.71	9173.8	15284.4	0
11	25	10.93	24.64	9113.7	15842.8	0
11	26	10.93	25.63	9113.7	16435.5	0
11	29	10.81	29.50	9046.9	18758.6	0
11	30	10.71	30.49	8986.7	19351.3	0
11	31	10.76	31.43	9012.5	19918.2	0
11	32	10.86	32.25	9072.6	20407.8	0
11	33	10.74	33.43	9003.9	21120.8	0
11	34	10.74	34.43	9002.3	21722.0	0
12	1	11.78	1.07	9607.3	1689.0	0
12	16	12.11	15.77	9800.9	10517.0	0
12	17	12.03	16.93	9749.3	11212.8	0
12	18	12.13	17.80	9809.5	11736.8	1
12	19	11.95	18.76	9706.4	12312.3	1
12	20	12.08	19.81	9783.7	12939.4	1
12	21	12.08	20.78	9783.7	13523.5	1
12	22	12.00	21.68	9732.2	14064.7	1
12	23	11.94	22.70	9697.8	14674.5	1
12	24	11.97	23.68	9715.0	15267.2	0
12	25	12.01	24.64	9740.7	15842.8	0
12	26	11.92	25.67	9689.2	16461.2	0
12	30	11.87	29.53	9656.7	18775.7	0
12	31	11.82	30.53	9631.0	19377.0	0
12	32	11.79	31.52	9613.8	19969.7	0
12	33	11.72	33.46	9570.8	21138.0	0
12	33	11.78	32.52	9605.2	20571.0	0
12	35	11.75	34.52	9588.0	21773.6	0
13	1	12.72	1.14	10152.6	1731.0	0
13	16	13.03	15.86	10333.5	10568.6	0
13	17	13.03	16.86	10333.5	11169.8	1
13	18	13.05	17.80	10342.0	11736.8	1
13	19	13.02	18.82	10324.9	12346.7	1
13	20	13.11	19.79	10376.4	12930.8	1
13	21	13.09	20.75	10367.8	13506.3	1
13	22	13.03	21.78	10333.5	14124.8	1
13	23	12.97	22.67	10299.1	14657.4	1
13	24	12.91	23.68	10264.7	15267.2	1
13	25	12.96	24.69	10290.5	15868.5	0
13	26	13.00	25.64	10316.3	16444.1	0
13	28	12.83	27.58	10214.2	17605.2	0
13	29	12.86	28.58	10235.0	18204.7	0
13	30	12.84	29.56	10223.9	18794.6	0
13	31	12.84	30.54	10223.7	19385.7	0
13	31	12.99	31.38	10309.7	19886.0	0
13	32	12.99	32.33	10309.7	20459.3	0
13	33	12.99	33.23	10309.7	20998.0	0
13	34	12.72	34.46	10155.1	21739.2	0
14	1	13.66	1.10	10697.8	1710.0	0
14	16	14.07	15.74	10934.7	10499.8	0
14	17	14.04	16.92	10917.6	11204.2	1
14	18	14.05	17.83	10926.2	11754.0	1
14	19	14.20	18.86	11012.1	12372.4	1
14	20	14.08	19.78	10943.3	12922.2	1
14	21	14.07	20.69	10934.7	13471.9	1
14	22	14.01	21.71	10900.4	14081.8	1
14	23	14.01	22.68	10900.4	14665.9	1
14	24	13.98	23.64	10883.2	15241.5	1
